Accelerometer data:  Timestamp, x, y, z
1454496675781,4.8267107,3.3039982,8.24563
1454496678982,-0.009576807,3.3135753,8.935161
1454496682110,0.05746084,2.4133554,9.423578
1454496758862,-2.183512,4.3287168,8.494628
